ShotMarker Archived Data (generated Jan 18 2025)
Exported 51 strings from Jan 18 of 168 total in archive

Jan 18 2025,Ethan Blackwell open,18,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:04:38 am,S1,sighter,9,-37,103,-1.44,4.05,-0.23,0.64,-0.07,0.19,617,2024,-1.4,-2.2,,
,8:05:20 am,S2,sighter,10,-50,45,-1.95,1.78,-0.31,0.28,-0.09,0.08,616.2,2022,-1.2,-2.3,,
,8:06:13 am,S3,sighter,9,17,113,0.69,4.46,0.11,0.71,0.03,0.21,615.1,2018,-1.4,-1.9,,
,8:07:06 am,S4,sighter,10,50,29,1.96,1.14,0.31,0.18,0.09,0.05,615.4,2019,-1.2,-1.9,,
,8:07:44 am,S5,sighter,X,29,6,1.14,0.22,0.18,0.03,0.05,0.01,619.2,2031,-1.3,-2.2,,
,8:08:15 am,S6,sighter,X,3,27,0.13,1.07,0.02,0.17,0.01,0.05,619.3,2032,-1.3,-2.2,,
,8:08:53 am,S7,sighter,X,5,-19,0.19,-0.75,0.03,-0.12,0.01,-0.03,622.3,2042,-1.4,-2.1,,
,8:09:28 am,S8,sighter,X,-6,-23,-0.24,-0.92,-0.04,-0.15,-0.01,-0.04,617.9,2027,-1.2,-2.2,,
,8:10:04 am,S9,sighter,X,-23,-5,-0.93,-0.21,-0.15,-0.03,-0.04,-0.01,617.5,2026,-1.2,-2.4,,
,8:10:37 am,S10,sighter,X,-12,-6,-0.49,-0.26,-0.08,-0.04,-0.02,-0.01,615.1,2018,-1.3,-2.2,,
,8:11:14 am,1,,X,-14,-28,-0.57,-1.09,-0.09,-0.17,-0.03,-0.05,617.1,2025,-1.2,-2.2,,
,8:11:39 am,2,,X,-9,-14,-0.37,-0.54,-0.06,-0.09,-0.02,-0.02,620.8,2037,-1.3,-2.3,,
,8:12:06 am,3,,X,-31,6,-1.24,0.25,-0.2,0.04,-0.06,0.01,621.3,2038,-1.3,-2.3,,
,8:12:30 am,4,,X,31,5,1.2,0.21,0.19,0.03,0.06,0.01,615.1,2018,-1.3,-2.1,,
,8:13:26 am,5,,10,-28,56,-1.1,2.2,-0.17,0.35,-0.05,0.1,617.3,2025,-1.4,-2.4,,
,8:13:52 am,6,,10,-66,4,-2.58,0.15,-0.41,0.02,-0.12,0.01,623.6,2046,-1.3,-2.7,,
,8:14:19 am,7,,X,-9,17,-0.36,0.67,-0.06,0.11,-0.02,0.03,618.8,2030,-1.3,-2.1,,
,8:14:53 am,8,,10,-60,-6,-2.35,-0.23,-0.37,-0.04,-0.11,-0.01,620.5,2036,-1.1,-2.4,,
,8:15:25 am,9,,10,-43,-24,-1.68,-0.94,-0.27,-0.15,-0.08,-0.04,619.8,2033,-1.1,-2.4,,
,8:16:55 am,10,,X,34,-20,1.33,-0.8,0.21,-0.13,0.06,-0.04,618.8,2030,-1.3,-2.2,,
,8:17:22 am,11,,10,56,-21,2.2,-0.81,0.35,-0.13,0.1,-0.04,618.6,2030,-1.5,-2.2,,
,8:17:51 am,12,,X,-16,-12,-0.61,-0.49,-0.1,-0.08,-0.03,-0.02,618.6,2030,-1.3,-2.3,,
,8:18:51 am,13,,10,-50,15,-1.97,0.6,-0.31,0.1,-0.09,0.03,621,2037,-1.2,-2.4,,
,8:19:27 am,14,,10,-40,13,-1.59,0.52,-0.25,0.08,-0.07,0.02,622.6,2043,-1.2,-2.3,,
,8:19:45 am,15,,10,-48,-23,-1.9,-0.91,-0.3,-0.14,-0.09,-0.04,619.3,2032,-1.3,-2.4,,
,8:20:13 am,16,,X,36,-14,1.41,-0.57,0.22,-0.09,0.07,-0.03,623,2044,-1.6,-2.2,,
,8:20:48 am,17,,X,24,-26,0.95,-1.01,0.15,-0.16,0.04,-0.05,616.5,2023,-1.4,-2.2,,
,8:21:09 am,18,,X,19,-33,0.74,-1.3,0.12,-0.21,0.03,-0.06,616.2,2022,-1.3,-2.3,,
,8:21:53 am,19,,X,24,-27,0.94,-1.06,0.15,-0.17,0.04,-0.05,618.3,2029,-1.3,-2.2,,
